NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb Mar Apr May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
0 115 0.45 0.45 0.47 0.48 0.48 0.49 0.48 0.50 0.48 0.47 0.46 0.45
0 116 0.45 0.46 0.48 0.49 0.48 0.49 0.48 0.50 0.49 0.48 0.46 0.45
0 117 0.46 0.47 0.50 0.51 0.51 0.51 0.50 0.53 0.52 0.50 0.48 0.46
0 118 0.47 0.48 0.52 0.54 0.53 0.52 0.52 0.55 0.54 0.52 0.49 0.47
0 119 0.48 0.49 0.52 0.55 0.54 0.53 0.53 0.56 0.56 0.53 0.51 0.48
0 120 0.49 0.49 0.53 0.55 0.55 0.53 0.53 0.56 0.57 0.55 0.53 0.50
0 121 0.50 0.50 0.53 0.56 0.55 0.53 0.53 0.57 0.58 0.56 0.54 0.51
0 122 0.51 0.52 0.54 0.57 0.56 0.54 0.54 0.58 0.59 0.58 0.56 0.52
0 123 0.53 0.53 0.55 0.58 0.57 0.55 0.55 0.59 0.61 0.60 0.57 0.53
0 124 0.54 0.54 0.56 0.59 0.58 0.56 0.55 0.59 0.61 0.61 0.59 0.54
0 125 0.56 0.55 0.57 0.60 0.59 0.56 0.56 0.59 0.61 0.61 0.60 0.56
0 126 0.57 0.56 0.58 0.61 0.59 0.57 0.56 0.58 0.61 0.61 0.61 0.57
0 127 0.57 0.55 0.57 0.60 0.59 0.56 0.55 0.56 0.59 0.60 0.61 0.58
0 128 0.56 0.54 0.56 0.59 0.58 0.55 0.53 0.54 0.57 0.59 0.60 0.58
0 129 0.56 0.54 0.55 0.58 0.57 0.54 0.53 0.54 0.57 0.58 0.59 0.57
0 130 0.56 0.54 0.55 0.58 0.57 0.54 0.53 0.53 0.57 0.57 0.58 0.55
0 131 0.56 0.54 0.55 0.57 0.56 0.54 0.53 0.53 0.56 0.56 0.57 0.54
0 132 0.55 0.54 0.54 0.57 0.56 0.53 0.52 0.53 0.55 0.55 0.56 0.54
0 133 0.55 0.53 0.54 0.56 0.56 0.53 0.51 0.52 0.54 0.53 0.56 0.54
0 134 0.55 0.53 0.54 0.56 0.56 0.52 0.51 0.52 0.54 0.53 0.55 0.54
0 135 0.55 0.53 0.53 0.55 0.56 0.52 0.52 0.53 0.53 0.53 0.55 0.54
0 136 0.55 0.53 0.53 0.54 0.56 0.52 0.52 0.53 0.53 0.53 0.54 0.53
0 137 0.54 0.52 0.52 0.53 0.56 0.52 0.52 0.53 0.53 0.52 0.54 0.53
0 138 0.54 0.51 0.52 0.53 0.55 0.52 0.51 0.53 0.53 0.52 0.53 0.52
0 139 0.54 0.51 0.52 0.53 0.56 0.52 0.52 0.53 0.53 0.52 0.53 0.53
0 140 0.55 0.52 0.52 0.53 0.56 0.52 0.52 0.53 0.54 0.53 0.54 0.53
0 141 0.55 0.52 0.53 0.54 0.56 0.53 0.53 0.54 0.55 0.54 0.54 0.53
0 142 0.55 0.52 0.53 0.54 0.56 0.52 0.54 0.54 0.56 0.53 0.54 0.53
0 143 0.55 0.53 0.54 0.54 0.56 0.52 0.54 0.54 0.56 0.53 0.54 0.53
0 144 0.55 0.53 0.54 0.54 0.56 0.52 0.54 0.54 0.57 0.53 0.54 0.53
