<SIZE>234
<LANG>EN,FR,DE,IT
<STATE>Zürich,ZH
Morgen,Morgen,Morgen,Morgen,47.3,8.8
Muniwis,Muniwis,Muniwis,Muniwis,47.4,8.4
Mühlehalde,Mühlehalde,Mühlehalde,Mühlehalde,47.3,8.5
Neerach,Neerach,Neerach,Neerach,47.5,8.5
Neu-Rheinau,Neu-Rheinau,Neu-Rheinau,Neu-Rheinau,47.6,8.6
Neuhus,Neuhus,Neuhus,Neuhus,47.3,8.9
Niederglatt,Niederglatt,Niederglatt,Niederglatt,47.5,8.5
Nürensdorf,Nürensdorf,Nürensdorf,Nürensdorf,47.4,8.6
Ober-Buch,Ober-Buch,Ober-Buch,Ober-Buch,47.5,8.6
Ober-Dürnten,Ober-Dürnten,Ober-Dürnten,Ober-Dürnten,47.3,8.9
Ober-Höri,Ober-Höri,Ober-Höri,Ober-Höri,47.5,8.5
Ober-Ohringen,Ober-Ohringen,Ober-Ohringen,Ober-Ohringen,47.5,8.7
Oberdorf,Oberdorf,Oberdorf,Oberdorf,47.6,8.6
Oberembrach,Oberembrach,Oberembrach,Oberembrach,47.5,8.6
Oberhittnau,Oberhittnau,Oberhittnau,Oberhittnau,47.4,8.8
Oberkempten,Oberkempten,Oberkempten,Oberkempten,47.3,8.8
Obermeilen,Obermeilen,Obermeilen,Obermeilen,47.3,8.7
Oberstammheim,Oberstammheim,Oberstammheim,Oberstammheim,47.6,8.8
Oberweningen,Oberweningen,Oberweningen,Oberweningen,47.5,8.4
Oberwil,Oberwil,Oberwil,Oberwil,47.5,8.6
Oberwinterthur (Kreis 2),Oberwinterthur (Kreis 2),Oberwinterthur (Kreis 2),Oberwinterthur (Kreis 2),47.5,8.8
Oerlingen,Oerlingen,Oerlingen,Oerlingen,47.6,8.7
Opfikon,Opfikon,Opfikon,Opfikon,47.4,8.6
Ossingen,Ossingen,Ossingen,Ossingen,47.6,8.7
Ottenbach,Ottenbach,Ottenbach,Ottenbach,47.3,8.4
Pfaffenwis,Pfaffenwis,Pfaffenwis,Pfaffenwis,47.4,8.4
Pfaffhausen,Pfaffhausen,Pfaffhausen,Pfaffhausen,47.4,8.6
Pfungen,Pfungen,Pfungen,Pfungen,47.5,8.6
Pilgerhof,Pilgerhof,Pilgerhof,Pilgerhof,47.3,8.9
Rafz,Rafz,Rafz,Rafz,47.6,8.5
Rebrain,Rebrain,Rebrain,Rebrain,47.5,8.5
Rebwies,Rebwies,Rebwies,Rebwies,47.3,8.6
Regensberg,Regensberg,Regensberg,Regensberg,47.5,8.4
Regensdorf,Regensdorf,Regensdorf,Regensdorf,47.4,8.5
Riedikon,Riedikon,Riedikon,Riedikon,47.3,8.7
Riedt,Riedt,Riedt,Riedt,47.5,8.5
Rietgrabenhang,Rietgrabenhang,Rietgrabenhang,Rietgrabenhang,47.4,8.6
Rifferswil,Rifferswil,Rifferswil,Rifferswil,47.2,8.5
Rorbas,Rorbas,Rorbas,Rorbas,47.5,8.6
Rumlikon,Rumlikon,Rumlikon,Rumlikon,47.4,8.8
Russikon,Russikon,Russikon,Russikon,47.4,8.8
Rämismühle,Rämismühle,Rämismühle,Rämismühle,47.4,8.8
Rümikon,Rümikon,Rümikon,Rümikon,47.5,8.8
Rüti,Rüti,Rüti,Rüti,47.3,8.9
Saland,Saland,Saland,Saland,47.4,8.9
Samstagern,Samstagern,Samstagern,Samstagern,47.2,8.7
Sand,Sand,Sand,Sand,47.4,8.5
